"filename", "language", "PHP", "HTML", "JavaScript", "JSON", "CSS", "XML", "Markdown", "Batch", "Shell Script", "SQL", "SCSS", "comment", "blank", "total"
"c:\xampp\htdocs\charity\dist\js\script.js", "JavaScript", 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 144
"c:\xampp\htdocs\charity\dist\js\sweetalert.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\charity\donate.php", "PHP", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 9, 116
"c:\xampp\htdocs\charity\events.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 59
"c:\xampp\htdocs\charity\home.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\xampp\htdocs\charity\inc\body_block.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\xampp\htdocs\charity\inc\body_block_end.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"c:\xampp\htdocs\charity\inc\defaultNav.php", "PHP", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 164
"c:\xampp\htdocs\charity\inc\footer.php", "PHP", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 124
"c:\xampp\htdocs\charity\inc\header.php", "PHP", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 89
